,0
1,"butorsGod MC LyricsI'm beginning to feel like a God MC/
G-O-D-K-I-DD, you already know what it means/
The L-E-G-E-N-D part of the name, it follows the scheme/
It is known as a hereditary trait, be prepared for your fate/
Death in a full circumference, one of you lil niggas is the bait/
These lil' ""rap"" mercenaries are here to silence the genre/
They not killin' shit but theirselves, suicide bombers/
Monogamy is an art of, not leaving the one you love/
You just gotta work a little harder/
Slice-N-Dice, but no pineapples, in fact I'm a lyrical barber/
Shot-caller, naw I'm, eating every line in a bar, that's bar-none/
Holocaustic, I'm a make it cost you, a whole lot of pain with the pen/
In other words, it's Pentacostal/
Kung Fu fighting with Foo Fighters/
Make room for the next likes of/
An imminent individual came to claim what's rightfully his/
Isis, Osiris, broke down, make it all for the kids/
Bringing the fight to these marks, I'll make 'em skid/
Streaks inside garments, except there are no pardons/
Launch a ball across your dome, call that Lacrosse, bitch/
I'm off it, but I'm on it, a little bit of hardwork, you can own it/
Never let anybody tell you that you can't own it/
If they do say, ""Bitch, don't hate, emulate and clone me""/
That means follow up with the plan that can show thee/
And owning, pwning, slowly/ Tearing apart instrumentals into the floor deep/
I just might say I'm 4 deep/ One man band man, word to Swizz Beatz/
They just don't clone sheep, they tame sheep, they rake in beef/
But I was thinking about a cow when I said that part, see/
I'm a fickle, ignorant, arrogant, nice-guy, that likes tye-dye/
With a little bit of ice, I, serve these rappers with drinks in the night-time/
Now, that's what I call a bar/
Like a retired captain that worked for the Fed, that's a fallen star/
I know you sick of all, these bars that I form straight from my jaw/
You might you wanna make a call to my Mama, or Papa/
And then retaliate by being verbal, tell 'em about their son who murders/
Leave heads in trashcans, United Postal Service/
Get your girlfriend to give me lip service, then make her 'work it, work it'/
You haven't ever heard, someone so nasty spit these words/
And still flourish effortlessly without a care in the world/
I was there when your girl, let a brotha put the baby batter in her hair/
A literate, misfit, ignorant of all the shit around him/
Who can find a better time to deliver this?/
I jump head-first in the midst of independence/
Swift justice, still vigilant with the diligence/
You gon' need to call the coroner my nigga, because I been killin' it/
Tip-toe or pussyfoot all the way to the finish/
I walk in silence, even if I got camel toes/
Did you follow that last line?/
This is what I do in my past time/
Call out a play to fuck up the screen, flame wielding/
It's what happens when I kindle fire/
Derogatively speaking; fuck you, fuck you, and fuck you/
I zoom-zoom-zoom pass y'all like that Mazda commercial/
Anybody can tell you that patience is virtue/
But it's some shit out there that won't wait for you/
So that's just life, now get over it/
King of my place is where I stand/
K-I-DD is the mothafuckin' man/
Residentially evil, someone call Milla Jovovich/
Just cause, the two of us, can't make it work like SpongeBob and Buzz/
Light-Year, but no dice here, so let's make another comparison right here/
Sort of like a Vice Lord hangin' out with Cuzz/
And a couple of Disciples that hang out with Bloods/
Word to Macklemore, it's nothing but the same love/
Hey bub, a Canadian in Japan with a body of adamantium/
Hallelujah, praise the father, the holy spirit and the son/
A little bit of confusion, severe headaches like contusions/
In the name of the Father, the Son, and the Holy Spirit/
Where the fuck is the Mother at, and where the fuck she been?/
It takes two to make things go right/
It takes two to make it out of sight/
I'm sort of a basehead for rhymes, except I don't talk to Rob/
Word to my brother, there's no Jack without Bob/
When I commit a crime, I lift the shop if I decide to rob/
That means I shoplift, I had to find the time to/
Scrape mothafuckas clean like corn without the cob/
In this cold world I'm a born sinner, wondering if God was a slob/
Like one of us, but he's not one of us, the cosmos comes close to a visual/
Of what the entity that created all mankind some billion years ago/
Okay, now here we really go, I'm about to chew it up again and throw/
It outside and make it snow, I would make it rain but I get cold/
Colder than an Icee, I might be, K-I-DD the legendary so don't try me/
I fight unworldly beings, with relics that belong to coffin pieces/
Y'all wish you could find him, but I'm beyond the world of Skyrim/
Shit, you can find me online then, match sword-to-sword when we collide/
And make amends in Tamriel before dying, homeboy I'm not even trying/
Rap God, God MC, whoever I want to, I can be/
Watch the Kidd takeover, gracefully/
Been doin' this, I'm suing them, make another attempt to be cool with him/
Lyrically, nobody can fuck with or fool with him/
Bust two shots, but shots too would ruin them/
Riding to the top of the pinnacleYou might also likeEmbe"
2,"butorsJesus LyricsV.1
Father
Abba
The God of
Abraham, Isaac and Jacob
You're outside of
All you made
You say we're the clay
And You're our Potter
We can't say
Why'd You make us this way
You're all Sovereign
And You reign over kings
You're the King of the kings
Your rock hearts and spark singers to sing
Our hearts lean
In the wrong direction
Took a crossbeam to redeem
Plus You've got a strong election
No vest but oh yes
You give strong protection
No stress, You don't sweat
You're so calm, You're sitting
On a throne in Your throne room
There's strong reception
For the prayers of Your people
Now that's a strong connection
You hear me now
Since the Son's palms were stretched and
We take the 150th Psalm's suggestion
Praise
You've got a love for Your Son that's unequal
Your government is one
You don't run and it's unsequeled
You might also likeCHORUS
Jesus
You sent a Son
Jesus
For the sinner
Jesus
We give honor to the 1 who sent

V.2
Jesus
The Son
Sent-One
The Word
Logos
Got a few names
And then some
You heard Agua?
I'm not
Sure if you have
So I've gotta
Put Him and His ways
On center stage
I'm like tadda!
I try to tell the people on the block
They don't know You
They think Your hair's blonde
And Your two eyes are so blue
No two
People are the same
This is so true
But those two
People get Your reign
This is so You
Cause this is grace
And I found that
Your grace is special
But its common
Like that Chi-town rapper
You've got holes in Your hands
Same hands with them holes in em
Gotta hold of control on this land
Man You've got the mouldin'est hands
Hands mould human souls
Plus the body, the soul
Grows and the plan
Was to take on flesh
Then live sinless
Died then rise
To save men and women
Then step yep!
CHORUS
Jesus
Yes You are
Jesus
Yeshua
We give honor to the 1 He sent

V.3
Last but not least
The Paraclete I speak on
Full deity
But often the people sleep on
The low-key invisible
Holy Spirit Who keeps blowing
He gives life
Through the Holy Spirit we're reborn
For some this is just a reintroduction
To all this God-centeredness
We ain't accustomed
He interrupts them
Drops belief in our guts and
In light of this faith I guess you'd say
We got a trust fund
He's called Advocate
With no magic kid
He does miraculous acts
He doesn't abracadabra it
Some call Him it
Or a power
And not a Person
We call Him
A powerful Person
We've done hours of searching
We can grieve Him
And lie to Him
The Scriptures He breathed and
Opened our eyes to em
We can live or die through Him
We can give a cry to Him
Hands in the air
Groans go up
And come back
Answers to prayer
Oh I'm giving you some extra bars
Your humility's killing me
You willingly seem to let applause
Go to the Father and the Son
Both described as the Savior
You always point to Jesus
And You slide off the radar
You enter in a heart
That is wired for chaos
With just a little spark
New desires are there
Salvation get's applied
You revive from the graveyard
I mention You as God
Cause You are
And we praise You
CHORUS
Jesus
You're a Fresh Wind
Jesus
You're refreshing
Jesus
You give honor to the 1 He sent1Embe"
3,"butorsGuarantee Lyrics[Intro]
Halos I paint on my forehead
Forget your pain. Watch me instead
I shoot your bliss
I plead the click
Like what I did?

[Chorus]
Keep your eyes down on me
Everything that you need
I guarantee it
I, I guarantee it
Run away. You do you
You gon’ come right back. Ooh
I guarantee it
I, I guarantee it

[Verse]
Don’t look up, just look down
They don’t know what we found
I’m your dopamine. Open me
I’m here right now
I like what you said
When you saw what I did
Daylight to the bed
Imma ride your hip
You might also like[Chorus]
Keep your eyes down on me
Everything that you need
I guarantee it
I, I guarantee it
Run away. You do you
You gon’ come right back. Ooh
I guarantee it
I, I guarantee it

[Rap]
You know you miss these bi’s, these tri’s, these days of our lives
Throwbacks, flashback Fridays, you pray, “Lord lemme get that!”
Lemme gеt you caught up. Everything I bought up. Woo!
Everything you can’t afford
Double click this bliss. I know your wishlist
Took thе pick, fixed it to your
Every desire. Look at me. I you admire
Check the blue check. These take you higher, higher!
Nah, nah baby don’t run! Don’t we have fun?
Don’t I show you what you’ve never done?
I need your love. Thy kingdom come, thy will be done
You like this one?

[Chorus]
Keep your eyes down on me
Everything that you need
I guarantee it
I, I guarantee it
Run away. You do you
You gon’ come right back. Ooh
I guarantee it
I, I guarantee itEmbe"
4,"butorsThis Is My Father’s World LyricsThis is my Father's world, and to my listening ears
All nature sings, and round me rings the music of the spheres
This is my Father's world, the birds their carols raise
The morning light, the lily white, declare their Maker's praise
This is my Father's world: I rest me in the thought
Of rocks and trees, of skies and seas;
His hand the wonders wrought
This is my Father's world. O let me ne'er forget
That though the wrong seems oft so strong, God is the ruler yet
This is my Father's world: why should my heart be sad?
The Lord is King; let the heavens ring!
God reigns; let the earth be glad!
This is my Father's world: He shines in all that's fair;
In the rustling grass I hear Him pass;
He speaks to me everywhere
In the rustling grass I hear Him pass;
He speaks to me everywhereSee Amy Grant LiveGet tickets as low as $65You might also likeEmbe"
5,"butorThe Spacious Firmament on high LyricsThe Spacious Firmament on high,
With all the blue Ethereal Sky,
And spangled Heav'ns, a Shining Frame,
Their great Original proclaim:
Th' unwearied Sun, from day to day,
Does his Creator's Pow'r display,
And publishes to every Land
The Work of an Almighty Hand.

Soon as the Evening Shades prevail,
The Moon takes up the wondrous Tale,
And nightly to the list'ning Earth
Repeats the Story of her Birth:
Whilst all the Stars that round her burn,
And all the Planets, in their turn,
Confirm the Tidings as they rowl,
And spread the Truth from Pole to Pole.
What though, in solemn Silence, all
Move round the dark terrestrial Ball?
What tho' nor real Voice nor Sound
Amid their radiant Orbs be found?

In Reason's Ear they all rejoice,
And utter forth a glorious Voice,
For ever singing, as they shine,
The Hand that made us is Divine.Embe"
6,"
Joyful, joyful, we adore Thee
God of glory, Lord of love
Hearts unfold like flowers before Thee
Opening to the sun above

Melt the clouds of sin and sadness
Drive the dark of doubt away
Giver of immortal gladness
Fill us with the light of day

"
7,"butorsPsalm 95 LyricsPsalms 95:1: O come, let us sing unto the LORD: let us make a joyful noise to the rock of our salvation.
Psalms 95:2: Let us come before his presence with thanksgiving, and make a joyful noise unto him with psalms.
Psalms 95:3: For the LORD is a great God, and a great King above all gods.
Psalms 95:4: In his hand are the deep places of the earth: the strength of the hills is his also.
Psalms 95:5: The sea is his, and he made it: and his hands formed the dry land.
Psalms 95:6: O come, let us worship and bow down: let us kneel before the LORD our maker.
Psalms 95:7: For he is our God; and we are the people of his pasture, and the sheep of his hand. To day if ye will hear his voice,
Psalms 95:8: Harden not your heart, as in the provocation, and as in the day of temptation in the wilderness:
Psalms 95:9: When your fathers tempted me, proved me, and saw my work.
Psalms 95:10: Forty years long was I grieved with this generation, and said, It is a people that do err in their heart, and they have not known my ways:
Psalms 95:11: Unto whom I sware in my wrath that they should not enter into my rest.Embe"
8,"butorAll People That On Earth Do Dwell LyricsAll people that on earth do dwell
Sing to the Lord with cheerful voice;
Him serve with mirth, His praise forth tell
Come ye before Him and rejoice

Know that the Lord is God indeed;
Without our aid He did us make;
We are His flock; He doth us feed
And for His sheep He doth us take

O enter then His gates with praise;
Approach with joy His courts unto;
Praise, laud, and bless His name always
For it is seemly so to do

For Why? The Lord our God is good;
His mercy is forever sure;
His truth at all times firmly stood
And shall from age to age endure
AmenYou might also likeEmbe"
9,"butorGlory To Jesus LyricsGlory to Jesus
By Mark V. Markov

Jesus is my Savior
My Redeemer
My God
Jesus is my Savior
My Deliverer
I was redeemed by His Holy blood

Chorus:
Glory to Jesus
Glory to Jesus
Glory To Jesus

Chorus:
Glory to Jesus
Glory To Jesus
Glory to Jesus

Chorus:
Glory to Jesus
Glory to Jesus
Glory to Jesus

Glory to the Father
The Son, Holy Spirit
Glory to the Father
The Son, Holy Spirit
Glory to the Father
The Son, and the Holy Spirit
You might also likeForever ever and ever
Forever and ever
Glory be

Oh Holy Trinity
Oh precious One Triune God
Forever and ever
I always need Your love

Chorus:
Glory to Jesus
Glory to Jesus
Glory to Jesus

Chorus:
Glory to Jesus
Glory to Jesus
Glory to Jesus

Chorus:
Glory to Jesus
Glory to Jesus
Glory to Jesus

Glory to the Father
The Son, and the Holy Spirit
Three in One
Glory to the Father
The Son, and the Holy Spirit
Three in One
Glory to the Father
The Son,and the Holy Spirit
Three in One
Forever and ever
Forever and ever
Glory be

Oh Holy Trinity
Oh precious One Triune God
Forever and ever
I always need Your love

Chorus:
Glory to Jesus
Glory to Jesus
Glory To Jesus

Chorus:
Glory to Jesus
Glory to Jesus
Glory to Jesus

Chorus:
Glory to Jesus
Glory to Jesus
Glory to Jesus

Glory to the Father
The Son, and the Holy Spirit
Three in One
Forever and ever
Forever ever and ever
Glory be
Oh Holy Trinity
Oh precious One Triune God
Forever and ever
I always need Your love

Chorus:
Glory to Jesus
Glory to Jesus
Glory to Jesus

Chorus:
Glory to Jesus
Glory to Jesus
Glory to Jesus

Chorus:
Glory to Jesus
Glory to Jesus
Glory to JesusEmbe"
